Speed1,Speed2,Gap,Secs1,Secs2
21.8,21.9,4.74,0,0
21.8,22.1,18.81,5,1
21.9,22.0,11.91,86,1
22.0,22.0,9.21,4,2
22.1,22.0,10.43,5,82
22.1,22.2,5.85,4,78
22.2,22.2,6.18,9,6
22.3,22.3,6.41,16,8
22.3,22.4,7.78,2,3
22.4,22.5,8.24,2,2
22.4,22.5,8.35,2,2
22.4,22.4,9.61,1,2
22.3,22.4,10.47,1,2
22.3,22.3,10.2,1,1
22.2,22.3,10.05,1,1
22.2,22.2,9.82,1,1
22.1,22.2,10.2,1,1
22.1,22.1,9.98,1,1
22.0,22.1,8.9,1,1
22.0,22.1,8.11,1,1
22.0,22.0,6.01,1,1
22.0,22.0,3.29,1,1
21.9,21.9,1.52,2,1
21.7,21.8,4.05,2,1
21.7,21.7,3.78,1,1
21.6,21.7,4.69,1,1
21.5,21.6,5.47,1,1
21.5,21.5,5.35,1,1
21.4,21.5,5.63,1,1
21.3,21.4,6.01,1,1
21.3,21.4,7.14,1,1
21.2,21.3,7.66,1,1
21.2,21.3,7.93,1,1
21.1,21.2,8.55,1,1
21.1,21.1,7.67,1,1
21.0,21.1,4.26,1,1
20.9,21.0,3.39,1,1
20.7,20.5,2.49,1,2
20.5,20.3,3.77,1,1
20.3,20.1,3.7,1,1
20.1,20.0,3.48,1,1
19.8,19.8,3.59,1,1
19.6,19.7,4.45,1,1
19.4,19.3,3.1,1,1
19.2,19.0,6.27,1,1
18.9,18.7,5.04,1,1
18.7,13.1,104.13,1,14
18.4,12.0,123.67,1,2
18.2,11.8,126.25,1,1
17.9,11.5,129.0,1,1
17.6,11.3,129.36,1,1
17.3,11.3,128.46,1,1
17.0,11.2,126.57,1,1
16.7,11.1,125.34,1,1
16.3,11.1,123.86,1,1
15.9,11.1,121.28,1,1
15.5,11.1,118.49,1,1
14.9,11.1,116.74,1,1
14.3,11.1,113.68,1,1
13.9,11.1,113.52,1,1
13.3,11.0,112.86,1,1
12.9,11.0,113.55,1,1
12.5,11.0,108.93,1,1
12.2,10.9,109.38,1,1
11.9,10.9,111.89,1,1
11.7,10.9,114.17,1,1
11.5,10.9,113.67,1,1
11.5,10.8,115.82,1,1
11.4,10.8,116.66,1,1
11.4,10.7,116.48,1,1
11.3,10.7,116.44,1,1
11.2,10.7,115.42,1,1
11.2,10.7,115.32,1,1
11.1,10.7,114.54,1,1
11.1,10.7,114.69,1,1
11.1,10.6,114.71,1,1
11.1,10.6,116.54,1,1
11.1,10.6,115.66,1,1
11.0,10.6,116.64,1,1
11.0,10.6,116.2,1,1
11.0,10.6,118.74,1,1
11.0,10.6,120.27,1,1
10.9,10.6,122.19,1,1
10.9,10.7,123.8,1,1
10.9,10.7,124.3,1,1
10.9,10.8,125.77,1,1
10.8,10.9,128.52,1,1
10.8,10.9,131.28,1,1
10.8,11.0,133.15,1,1
10.8,11.0,134.68,1,1
10.8,11.0,133.52,1,1
10.8,10.9,132.08,1,1
10.8,10.9,129.83,1,1
10.7,10.9,128.98,1,1
10.7,10.9,127.94,1,1
10.7,10.9,126.22,1,2
10.6,10.9,122.65,1,6
